Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Total Tests,Population,continent
Uganda,164069.0,0.0,3596.0,0.0,100205.0,0.0,60268.0,2.0,2612795.0,48350505.0,Africa
El Salvador,162089.0,0.0,4127.0,0.0,150662.0,0.0,7300.0,8.0,1950448.0,6545373.0,North America
Ghana,161124.0,0.0,1445.0,0.0,159655.0,0.0,24.0,1.0,2433244.0,32245102.0,Africa
Namibia,158332.0,52.0,4023.0,0.0,153662.0,0.0,647.0,0.0,1001354.0,2624072.0,Africa
Martinique,147519.0,0.0,918.0,0.0,104.0,0.0,146497.0,8.0,828928.0,374739.0,North America
Trinidad and Tobago,144359.0,475.0,3812.0,1.0,133604.0,236.0,6943.0,18.0,696148.0,1407681.0,North America
Brunei,141014.0,141.0,218.0,0.0,139724.0,201.0,1072.0,0.0,717784.0,445052.0,Asia
Guadeloupe,140130.0,0.0,854.0,0.0,2250.0,0.0,137026.0,19.0,938039.0,400248.0,North America
Cambodia,136200.0,28.0,3056.0,0.0,132896.0,16.0,248.0,0.0,2946965.0,17137221.0,Asia
Rwanda,129764.0,0.0,1458.0,0.0,45522.0,0.0,82784.0,0.0,5225494.0,13532358.0,Africa
Jamaica,129489.0,48.0,2943.0,2.0,82965.0,90.0,43581.0,0.0,981688.0,2984534.0,North America
Cameroon,119780.0,0.0,1927.0,0.0,117791.0,0.0,62.0,13.0,1751774.0,27739834.0,Africa
Angola,99194.0,0.0,1900.0,0.0,97149.0,0.0,145.0,0.0,1499795.0,34713148.0,Africa
Malta,90399.0,231.0,687.0,3.0,84111.0,590.0,5601.0,4.0,1870483.0,443669.0,Europe
DRC,87023.0,0.0,1337.0,0.0,50930.0,0.0,34756.0,0.0,846704.0,94480277.0,Africa
Senegal,85984.0,2.0,1966.0,1.0,84001.0,2.0,17.0,1.0,1063849.0,17541154.0,Africa
Malawi,85747.0,4.0,2633.0,0.0,81938.0,4.0,1176.0,67.0,571585.0,20023110.0,Africa
Ivory Coast,81887.0,6.0,799.0,0.0,81061.0,4.0,27.0,0.0,1494624.0,27558545.0,Africa
French Guiana,80422.0,0.0,394.0,0.0,11254.0,0.0,68774.0,1.0,622646.0,312670.0,South America
